"Código","Nome ","Estado","UF","Latitude","Longitude","Altitude (m)","Tmed","Tmax","Tmin","Tmax Abs","Tmin Abs","Colunas4","Colunas5","Pres","Inso","Evap","Neb","Neb Hora","UR","UR Hora","Prec","Prec Max","Prec N° Dias","PDec","Pdec N°D","NPSec","Vento Int","Vento u","Vento v","Vento DirRes","Vento DirPred","Nº Normais"
"83920","São Joaquim","Santa Catarina","SC","28°18'S","49°56'W","1415.0","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83923","Urussanga","Santa Catarina","SC","28°31'S","49°19'W","48.2","X","X","X","X","X","","","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","21"
"83858","Xanxerê","Santa Catarina","SC","26°51'S","52°24'W","841.2","X","X","X","X","X","","","","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","20"
"83096","Aracaju","Sergipe","SE","10°57'S","37°03'W","4.7","X","X","X","","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83195","Itabaianinha","Sergipe","SE","11°07'S","37°49'W","208.0","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83097","Propriá","Sergipe","SE","10°12'S","36°52'W","19.9","X","X","X","X","","","","","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","21"
"83672","Araçatuba","São Paulo","SP","21°12'S","50°26'W","397.0","X","X","X","X","X","","","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83773","Avaré","São Paulo","SP","23°05'S","48°54'W","854.0","X","X","X","X","X","","","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","21"
"83712","Bananal","São Paulo","SP","22°42'S","44°19'W","560.0","X","X","X","X","X","","","","","","","X","X","X","","X","X","X","X","","X","X","X","X","X","17"
"83625","Barretos","São Paulo","SP","20°33'S","48°34'W","541.2","","","X","","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","20"
"83729","Campinas","São Paulo","SP","22°54'S","47°05'W","663.2","X","X","X","X","X","","","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","21"
"83714","Campos do Jordão","São Paulo","SP","22°45'S","45°36'W","1642.0","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83676","Catanduva","São Paulo","SP","21°07'S","48°56'W","570.0","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83626","Colina","São Paulo","SP","20°43'S","48°33'W","589.0","","","X","","X","","","","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","18"
"83760","Coop. Agrícola de Cotia","São Paulo","SP","23°35'S","46°53'W","838.2","X","X","X","X","X","","","X","X","","X","X","X","X","X","X","X","X","X","","X","X","X","X","X","21"
"83204","Fazenda Ipanema (Est. Desativada)","São Paulo","SP","23°25'S","47°35'W","584.6","","","X","","X","","","","X","X","X","X","X","X","X","X","X","X","X","","X","X","X","X","X","18"
"83630","Franca","São Paulo","SP","20°35'S","47°22'W","1026.2","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83075","Guarulhos","São Paulo","SP","23°26'S","46°28'W","735.0","","","","","","","","","","X","","","","","","","","","","","","","","","","1"
"83821","Iguape","São Paulo","SP","24°43'S","47°33'W","2.7","X","X","X","X","X","","","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83774","Itapeva","São Paulo","SP","23°57'S","48°53'W","707.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83678","Jaboticabal","São Paulo","SP","21°15'S","48°18'W","595.0","X","X","X","","","","","X","","","","","X","X","","X","X","","X","","","","","","","9"
"83674","Lins","São Paulo","SP","21°48'S","49°45'W","426.0","X","X","X","X","X","","","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83772","Mogi das Cruzes","São Paulo","SP","23°31'S","46°13'W","775.0","X","X","X","X","X","","","","","","X","X","X","X","*","X","X","X","X","X","X","X","X","X","X","20"
"83271","Nova Odessa","São Paulo","SP","22°42'S","47°18'W","550.0","","","","","","","","","","X","","","","","","","","","","","","","","","","1"
"83847","Paraibuna","São Paulo","SP","23°25'S","45°39'W","649.1","","X","X","X","X","","","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","20"
"83716","Presidente Prudente","São Paulo","SP","22°07'S","51°23'W","435.6","X","X","X","X","X","","","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","21"
"83670","Santa Rita","São Paulo","SP","21°40'S","47°30'W","715.0","X","X","X","X","X","","","","","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","20"
"83782","Santos","São Paulo","SP","23°56'S","46°20'W","13.5","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83726","São Carlos","São Paulo","SP","21°58'S","47°52'W","856.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83809","São José dos Campos","São Paulo","SP","23°13'S","45°51'W","643.5","X","X","X","X","X","","","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83856","São Paulo - Horto Florestal","São Paulo","SP","23°27'S","46°39'W","775.0","X","X","X","X","X","","","","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","20"
"83781","São Paulo (Mir. de Santana)","São Paulo","SP","23°30'S","46°37'W","792.1","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83669","São Simão","São Paulo","SP","21°29'S","47°33'W","617.4","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83667","Sertãozinho","São Paulo","SP","21°08'S","47°59'W","548.0","X","X","X","X","X","","","","","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","19"
"83851","Sorocaba","São Paulo","SP","23°29'S","47°26'W","645.0","X","X","X","X","X","","","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83666","Tamoio","São Paulo","SP","21°47'S","48°10'W","780.0","","","","","","","","","","","","X","X","X","","X","X","","X","","X","X","X","X","X","11"
"83784","Taubaté","São Paulo","SP","23°02'S","45°33'W","577.0","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83857","Tremembé","São Paulo","SP","22°58'S","45°33'W","546.2","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83786","Ubatuba","São Paulo","SP","23°27'S","45°04'W","8.0","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"83629","Usina Junqueira","São Paulo","SP","20°00'S","47°46'W","560.0","","","X","","X","","","X","X","X","X","X","X","X","X","X","X","X","X","","X","X","X","X","X","19"
"83623","Votuporanga","São Paulo","SP","20°25'S","49°59'W","502.5","X","X","X","X","X","","","X","X","*","X","X","X","X","X","","X","","X","","X","X","X","X","X","19"
"82659","Araguaina","Tocantins","TO","07°12'S","48°12'W","228.5","","","","","","","","","","X","","","","","","","","","","","","","","","","1"
"83033","Palmas","Tocantins","TO","10°11'S","48°18'W","280.0","X","X","X","X","X","","","X","X","X","X","X","","","X","X","X","X","X","X","X","","","","","17"
"83231","Paranã","Tocantins","TO","12°33'S","47°50'W","275.0","X","X","X","X","X","","","X","","*","X","X","X","X","X","X","X","X","X","X","","","","","","17"
"82863","Pedro Afonso","Tocantins","TO","08°58'S","48°11'W","187.0","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83228","Peixe","Tocantins","TO","12°01'S","48°21'W","242.5","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83064","Porto Nacional","Tocantins","TO","10°43'S","48°25'W","239.2","X","X","X","X","X","","","X","X","*","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","22"
"83235","Taguatinga","Tocantins","TO","12°24'S","46°25'W","603.6","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","23"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nota:  ","Os valores em azul e itálico correspondem a correções feitas posteriormente à publicação.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
